IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.30.239,4,4,0.00,162.56,0.00
104.22.61.105,4,4,0.00,162.62,0.00
104.22.21.52,4,4,0.00,164.78,0.00
104.22.30.240,4,4,0.00,165.74,0.00
104.18.29.88,4,4,0.00,165.75,0.00
104.17.72.199,4,4,0.00,165.98,0.00
104.18.34.69,4,4,0.00,166.02,0.00
104.16.43.237,4,4,0.00,167.04,0.00
104.17.64.45,4,4,0.00,169.36,0.00
104.22.17.161,4,4,0.00,171.41,0.00
104.22.56.213,4,4,0.00,171.60,0.00
104.22.29.116,4,4,0.00,177.41,0.00
104.16.213.153,4,4,0.00,177.54,0.00
104.22.63.29,4,4,0.00,177.54,0.00
104.17.143.110,4,4,0.00,177.67,0.00
104.18.20.124,4,4,0.00,181.90,0.00
104.22.16.247,4,4,0.00,182.03,0.00
104.22.22.68,4,4,0.00,182.68,0.00
104.22.31.180,4,4,0.00,182.95,0.00
104.22.49.140,4,4,0.00,184.17,0.00
104.17.134.68,4,4,0.00,186.10,0.00
104.18.24.139,4,4,0.00,186.24,0.00
104.17.130.108,4,4,0.00,188.95,0.00
104.17.74.54,4,4,0.00,189.91,0.00
104.16.35.189,4,4,0.00,190.41,0.00
104.16.218.193,4,4,0.00,192.49,0.00
104.16.38.52,4,4,0.00,193.83,0.00
104.16.208.196,4,4,0.00,197.20,0.00
104.16.214.112,4,4,0.00,198.24,0.00
104.16.221.234,4,3,0.25,161.88,0.00
104.22.55.253,4,3,0.25,166.15,0.00
104.22.52.233,4,3,0.25,166.37,0.00
104.17.132.232,4,3,0.25,167.34,0.00
104.17.68.169,4,3,0.25,167.65,0.00
104.16.209.111,4,3,0.25,168.00,0.00
104.16.33.79,4,3,0.25,168.32,0.00
104.17.67.95,4,3,0.25,169.44,0.00
104.16.39.195,4,3,0.25,169.64,0.00
104.16.222.242,4,3,0.25,170.73,0.00
104.17.79.40,4,3,0.25,170.73,0.00
104.17.75.100,4,3,0.25,171.10,0.00
104.18.22.253,4,3,0.25,171.11,0.00
104.22.48.234,4,3,0.25,171.74,0.00
104.17.71.246,4,3,0.25,171.92,0.00
104.22.57.183,4,3,0.25,173.14,0.00
104.16.45.90,4,3,0.25,173.32,0.00
104.17.66.88,4,3,0.25,173.67,0.00
104.22.27.241,4,3,0.25,175.10,0.00
104.22.54.121,4,3,0.25,176.36,0.00
104.22.60.201,4,3,0.25,176.36,0.00
104.17.70.0,4,3,0.25,177.02,0.00
104.17.78.192,4,3,0.25,177.02,0.00
104.22.19.7,4,3,0.25,177.85,0.00
104.22.23.143,4,3,0.25,177.85,0.00
104.22.25.202,4,3,0.25,177.85,0.00
104.17.65.173,4,3,0.25,179.51,0.00
104.17.73.69,4,3,0.25,180.52,0.00
104.22.28.224,4,3,0.25,181.23,0.00
104.22.62.27,4,3,0.25,181.23,0.00
104.22.20.231,4,3,0.25,181.66,0.00
104.17.77.18,4,3,0.25,181.90,0.00
104.16.217.99,4,3,0.25,182.56,0.00
104.17.139.96,4,3,0.25,182.73,0.00
104.16.223.131,4,3,0.25,183.43,0.00
104.22.51.173,4,3,0.25,183.62,0.00
104.16.42.32,4,3,0.25,183.72,0.00
104.18.19.97,4,3,0.25,183.98,0.00
104.17.131.179,4,3,0.25,184.05,0.00
104.16.220.117,4,3,0.25,184.44,0.00
104.16.216.175,4,3,0.25,185.44,0.00
104.18.28.93,4,3,0.25,185.74,0.00
104.17.133.149,4,3,0.25,185.75,0.00
104.18.17.150,4,3,0.25,185.84,0.00
104.17.137.64,4,3,0.25,185.95,0.00
104.22.58.110,4,3,0.25,186.52,0.00
104.16.40.77,4,3,0.25,186.60,0.00
104.16.44.218,4,3,0.25,187.06,0.00
104.17.135.160,4,3,0.25,187.24,0.00
104.16.32.94,4,3,0.25,187.40,0.00
104.16.46.47,4,3,0.25,187.52,0.00
104.16.211.239,4,3,0.25,187.53,0.00
104.16.41.16,4,3,0.25,187.91,0.00
104.17.128.46,4,3,0.25,188.28,0.00
104.16.210.8,4,3,0.25,188.75,0.00
104.16.212.150,4,3,0.25,189.37,0.00
104.18.18.121,4,3,0.25,189.55,0.00
104.17.141.42,4,3,0.25,189.70,0.00
104.18.41.221,4,3,0.25,189.96,0.00
104.22.18.218,4,3,0.25,190.27,0.00
104.22.59.30,4,3,0.25,190.29,0.00
104.22.26.127,4,3,0.25,190.63,0.00
104.18.33.253,4,3,0.25,191.75,0.00
104.16.34.245,4,3,0.25,191.92,0.00
104.18.25.250,4,3,0.25,191.98,0.00
104.18.23.252,4,3,0.25,192.37,0.00
104.18.26.125,4,3,0.25,192.70,0.00
104.17.136.19,4,3,0.25,193.19,0.00
104.16.37.227,4,3,0.25,194.32,0.00
104.22.53.238,4,3,0.25,194.67,0.00
104.18.27.219,4,3,0.25,194.99,0.00
104.22.24.215,4,3,0.25,195.17,0.00
104.17.140.231,4,3,0.25,195.42,0.00
104.17.129.17,4,3,0.25,196.01,0.00
104.18.31.235,4,3,0.25,196.57,0.00
104.22.50.210,4,3,0.25,196.74,0.00
104.16.215.240,4,3,0.25,199.32,0.00
104.16.36.45,4,3,0.25,199.95,0.00
104.16.47.219,4,3,0.25,200.69,0.00
104.17.142.137,4,3,0.25,201.71,0.00
104.16.219.100,4,3,0.25,201.92,0.00
104.17.76.109,4,3,0.25,203.19,0.00
104.17.138.202,4,3,0.25,203.20,0.00
104.18.21.231,4,3,0.25,203.68,0.00
104.17.69.225,4,3,0.25,208.75,0.00
104.18.16.55,4,3,0.25,211.99,0.00
